id;murre;lat;lon;klaster
1;seto;58.1;27.54;1
2;seto;58.04;27.48;1
3;seto;57.96;27.46;1
4;seto;57.93;27.49;1
5;seto;57.96;27.52;1
6;seto;57.92;27.55;1
7;seto;57.9;27.53;1
8;seto;57.86;27.57;1
9;seto;57.83;27.55;1
10;seto;57.83;27.38;1
11;seto;57.81;27.36;1
12;seto;57.72;27.37;1
13;seto;57.7;27.4;1
14;seto;57.65;27.31;1
15;seto;57.6;27.29;1
16;seto;57.52;27.35;1
17;seto;57.54;27.53;1
18;seto;57.51;27.55;1
19;seto;57.53;27.7;1
20;seto;57.85;28.02;1
21;seto;57.85;27.94;1
22;seto;57.9;27.84;1
23;seto;57.94;27.86;1
24;seto;58.05;27.7;1
25;seto;58.06;27.63;1
26;seto;58.1;27.54;1
27;seto;NA;NA;1
28;võru;58.1;27.54;1
29;võru;58.04;27.48;1
30;võru;57.96;27.46;1
31;võru;57.93;27.49;1
32;võru;57.96;27.52;1
33;võru;57.92;27.55;1
34;võru;57.9;27.53;1
35;võru;57.86;27.57;1
36;võru;57.83;27.55;1
37;võru;57.83;27.38;1
38;võru;57.81;27.36;1
39;võru;57.72;27.37;1
40;võru;57.7;27.4;1
41;võru;57.65;27.31;1
42;võru;57.6;27.29;1
43;võru;57.52;27.35;1
44;võru;57.56;27.08;1
45;võru;57.6;27.02;1
46;võru;57.6;26.94;1
47;võru;57.63;26.9;1
48;võru;57.58;26.82;1
49;võru;57.55;26.62;1
50;võru;57.5;26.61;1
51;võru;57.54;26.57;1
52;võru;57.51;26.55;1
53;võru;57.51;26.49;1
54;võru;57.57;26.45;1
55;võru;57.57;26.3;1
56;võru;57.72;26.17;1
57;võru;57.77;26.01;1
58;võru;57.86;26.25;1
59;võru;57.83;26.42;1
60;võru;57.87;26.38;1
61;võru;57.94;26.41;1
62;võru;57.95;26.51;1
63;võru;58.05;26.57;1
64;võru;58.08;26.53;1
65;võru;58.12;26.6;1
66;võru;58.1;26.67;1
67;võru;58.08;26.68;1
68;võru;58.16;26.87;1
69;võru;58.09;27;1
70;võru;58.13;27.11;1
71;võru;58.2;27.11;1
72;võru;58.22;27.18;1
73;võru;58.17;27.2;1
74;võru;58.15;27.29;1
75;võru;58.23;27.35;1
76;võru;58.27;27.31;1
77;võru;58.31;27.35;1
78;võru;58.37;27.32;1
79;võru;58.39;27.35;1
80;võru;58.36;27.43;1
81;võru;58.35;27.4;1
82;võru;58.1;27.54;1
83;võru;NA;NA;1
84;ranna;59.46;24.82;2
85;ranna;59.53;24.78;2
86;ranna;59.56;24.81;2
87;ranna;59.54;24.87;2
88;ranna;59.49;24.93;2
89;ranna;59.51;25;2
90;ranna;59.48;25.17;2
91;ranna;59.54;25.13;2
92;ranna;59.52;25.26;2
93;ranna;59.49;25.3;2
94;ranna;59.49;25.43;2
95;ranna;59.52;25.45;2
96;ranna;59.52;25.53;2
97;ranna;59.55;25.55;2
98;ranna;59.6;25.48;2
99;ranna;59.64;25.51;2
100;ranna;59.56;25.66;2
101;ranna;59.58;25.7;2
102;ranna;59.62;25.66;2
103;ranna;59.66;25.68;2
104;ranna;59.64;25.74;2
105;ranna;59.57;25.79;2
106;ranna;59.58;25.85;2
107;ranna;59.61;25.86;2
108;ranna;59.61;25.92;2
109;ranna;59.57;25.95;2
110;ranna;59.61;25.99;2
111;ranna;59.62;26.03;2
112;ranna;59.58;26.1;2
113;ranna;59.59;26.25;2
114;ranna;59.55;26.29;2
115;ranna;59.51;26.54;2
116;ranna;59.55;26.58;2
117;ranna;59.53;26.72;2
118;ranna;59.5;26.72;2
119;ranna;59.44;26.88;2
120;ranna;59.39;26.82;2
121;ranna;59.32;26.87;2
122;ranna;59.3;26.77;2
123;ranna;59.26;26.83;2
124;ranna;59.23;26.75;2
125;ranna;59.46;26.48;2
126;ranna;59.44;26.45;2
127;ranna;59.51;26.32;2
128;ranna;59.56;25.86;2
129;ranna;59.45;25.23;2
130;ranna;59.46;24.82;2
131;ranna;NA;NA;2
132;kirde;58.99;27.73;1
133;kirde;59.23;27.89;1
134;kirde;59.3;28.04;1
135;kirde;59.28;28.13;1
136;kirde;59.36;28.21;1
137;kirde;59.47;28.02;1
138;kirde;59.41;27.97;1
139;kirde;59.39;27.83;1
140;kirde;59.41;27.71;1
141;kirde;59.42;27.56;1
142;kirde;59.45;27.38;1
143;kirde;59.43;27.06;1
144;kirde;59.44;26.88;1
145;kirde;59.39;26.82;1
146;kirde;59.32;26.87;1
147;kirde;59.3;26.77;1
148;kirde;59.26;26.83;1
149;kirde;59.23;26.82;1
150;kirde;59.21;26.91;1
151;kirde;59.16;26.92;1
152;kirde;59.16;26.99;1
153;kirde;59.13;27.1;1
154;kirde;58.99;27.22;1
155;kirde;59.01;27.56;1
156;kirde;58.99;27.73;1
157;kirde;NA;NA;1
158;tartu;57.77;26.01;1
159;tartu;57.86;26.25;1
160;tartu;57.83;26.42;1
161;tartu;57.87;26.38;1
162;tartu;57.94;26.41;1
163;tartu;57.95;26.51;1
164;tartu;58.05;26.57;1
